ag_section	bn_topics	ag_says	bn_says
288	bn-236-adjectives-used-substantively	288. Adjectives are often used as nouns (substantively), the masculine usually to denote m	Adjectives Used Substantively
295	bn-242-syntax-of-personal-pronouns	295. The personal pronouns have, in general, the same constructions as nouns. a. The perso	Syntax of personal pronouns
296	bn-246-syntax-of-demonstrative-pronouns	296. Demonstrative pronouns are used either adjectively or substantively. As adjectives, t	Syntax of demonstrative pronouns
299	bn-244-syntax-of-reflexive-pronouns	299. The reflexive pronoun (sē), and usually its corresponding possessive (suus), are used	Syntax of reflexive pronouns
302	bn-243-syntax-of-possessive-pronouns	302. The possessive pronouns are derivative adjectives, which take the gender, number, and	Syntax of possessive pronouns
303	bn-250-syntax-of-relative-pronouns	303. A relative pronoun agrees with some word expressed or implied either in its own claus	Syntax of relative pronouns
305	bn-250-syntax-of-relative-pronouns	305. A relative agrees with its antecedent in gender and number; but, its case depends on 	Syntax of relative pronouns
306	bn-250-syntax-of-relative-pronouns	306. A relative generally agrees in gender and number with an appositive or predicate noun	Syntax of relative pronouns
311	bn-252-syntax-of-indefinite-pronouns	311. In a particular negative aliquis and aliquī (some one, some), are regularly used, whe	Syntax of indefinite pronouns
321	bn-347-syntax-of-adverbs	321. Adverbs are used to modify verbs, adjectives, and other adverbs. a. A Demonstrative o	Syntax of adverbs
323	bn-341-coordinate-conjunctions	323. Copulative and disjunctive conjunctions connect similar constructions, and are regula	Coördinate Conjunctions
325	bn-347-syntax-of-adverbs	325. In the use of the negative particles,1 the following points are to be observed. 326. 	Syntax of adverbs
332	bn-162-form-of-interrogative-sentences	332. A question of simple fact, requiring the answer yes or no, is formed by adding the en	Form of Interrogative Sentences
333	bn-162-form-of-interrogative-sentences	333. A question concerning some special circumstance is formed by prefixing to the sentenc	Form of Interrogative Sentences
335	bn-162-form-of-interrogative-sentences	335. In Double or Alternative Questions, utrum or -ne (whether), stands in the first membe	Form of Interrogative Sentences
339	bn-166-subject	339. The subject of a finite verb is in the nominative. Caesar Rhēnum trānsīre dēcrēverat.	Subject
340	bn-171-the-vocative	340. The vocative is the case of direct address. Tiberīne pater, tē, sāncte, precor. (Liv.	The Vocative
343	bn-195-genitive-with-nouns	343. The Possessive Genitive denotes the person or thing to which an object, quality, feel	Genitive with Nouns
348	bn-195-genitive-with-nouns	348. Nouns of action, agency, and feeling govern the Genitive of the Object. cāritās tuī a	Genitive with Nouns
350	bn-205-genitive-with-verbs	350. Verbs of remembering and forgetting take either the accusative or the genitive of the	Genitive with Verbs
351	bn-205-genitive-with-verbs	351. Verbs of reminding take with the Accusative of the person a genitive of the thing; ex	Genitive with Verbs
352	bn-205-genitive-with-verbs	352. Verbs of accusing, condemning, and acquitting, take the Genitive of the Charge or Pen	Genitive with Verbs
354	bn-205-genitive-with-verbs	354. Many verbs of feeling take the genitive of the object which excites the feeling. a. V	Genitive with Verbs
356	bn-205-genitive-with-verbs	356. Verbs of Plenty and Want sometimes govern the genitive (cf. § 409.a, Note). Convīvium	Genitive with Verbs
362	bn-186-the-dative	362. The Dative of the Indirect object with the accusative of the direct may be used with 	The Dative
