lane_section	bn_topics	lane_says	bn_says
1056	bn-164-simple-and-compound-sentences	1056. A Compound Sentence is one which consists of two or more coordinate simple sentences	Simple and Compound Sentences
1057	bn-164-simple-and-compound-sentences	1057. A compound sentence is usually abridged when the members have parts in common: as, v	Simple and Compound Sentences
1062	bn-254-agreement	1062. A verb agrees with its subject in number and person: as, praedia mea tū possidēs, eg	Agreement
1064	bn-254-agreement	1064. (1.) With two or more singular subjects, the verb is often in the plural: as, (a.) W	Agreement
1065	bn-254-agreement	1065. The plural is sometimes demanded by the meaning of the verb: as, iūs et iniūria nātū	Agreement
1066	bn-254-agreement	1066. (2.) Often, however, with two or more singular subjects, the verb is put in the sing	Agreement
1067	bn-254-agreement	1067. With two or more singular subjects denoting things, and making a compound idea, a si	Agreement
1068	bn-254-agreement	1068. (3.) With mixed subjects, singular and plural, the verb may likewise be either plura	Agreement
1069	bn-254-agreement	1069. The plural is sometimes used with a singular subject limited by an ablative with cum	Agreement
1070	bn-254-agreement	1070. (4.) When the subjects are connected by nec . . . nec, aut, or aut . . . aut, the ve	Agreement
1071	bn-254-agreement	1071. Collectives have usually a singular verb. But the plural is sometimes used, especial	Agreement
1072	bn-254-agreement	1072. The verb sometimes agrees with an appositive explaining the subject, or with a subst	Agreement
1073	bn-254-agreement	1073. The verb sometimes agrees with a substantive introduced by such words as quam, quant	Agreement
1076	bn-254-agreement	1076. If the subjects are of different persons, the first person is preferred to the secon	Agreement
1077	bn-169-appositives,bn-167-predicate-nouns	1077. A substantive which explains another substantive referring to the same thing is put 	Appositives; Predicate Nouns
1078	bn-167-predicate-nouns,bn-169-appositives	1078. Mobile substantives take also the gender and number of the masculines or feminines t	Predicate Nouns; Appositives
1079	bn-169-appositives	1079. A substantive explaining two or more substantives, is put in the plural: as, foedus 	Appositives
1080	bn-169-appositives	1080. A plural subject, expressed or implied, is sometimes defined by a singular word, whi	Appositives
1081	bn-169-appositives	1081. A substantive in the accusative or nominative is sometimes in apposition to a though	Appositives
1082	bn-234-agreement-of-adjectives	1082. An adjective, adjective pronoun, or participle, agrees with its substantive in numbe	Agreement of Adjectives
1084	bn-234-agreement-of-adjectives	1084. (1.) An attributive adjective referring to several substantives is commonly expresse	Agreement of Adjectives
1085	bn-234-agreement-of-adjectives	1085. Two or more attributive adjectives in the singular connected by a conjunction may be	Agreement of Adjectives
1086	bn-234-agreement-of-adjectives	1086. The combined idea of a substantive with an attributive adjective may be qualified by	Agreement of Adjectives
1088	bn-234-agreement-of-adjectives	1088. (a.) If the substantives denote persons of the same gender, that gender is used; if 	Agreement of Adjectives
1089	bn-234-agreement-of-adjectives	1089. (b.) If the substantives denote things, and are of different genders, the neuter plu	Agreement of Adjectives
1090	bn-234-agreement-of-adjectives	1090. (c.) If the substantives denote both persons and things, either the gender of the su	Agreement of Adjectives
1091	bn-234-agreement-of-adjectives	1091. When the verb is attached to the nearest only of two or more subjects, a predicate p	Agreement of Adjectives
1093	bn-236-adjectives-used-substantively	1093. A neuter adjective or pronoun is sometimes used as a substantive in the predicate (1	Adjectives Used Substantively
1094	bn-250-syntax-of-relative-pronouns,bn-246-syntax-of-demonstrative-pronouns	1094. A demonstrative, determinative, or relative pronoun used substantively takes the num	Syntax of relative pronouns; Syntax of demonstrative pronouns
1095	bn-250-syntax-of-relative-pronouns,bn-246-syntax-of-demonstrative-pronouns	1095. Sometimes, however, the number and gender of these pronouns are determined by the se	Syntax of relative pronouns; Syntax of demonstrative pronouns
1097	bn-246-syntax-of-demonstrative-pronouns,bn-250-syntax-of-relative-pronouns	1097. A demonstrative, determinative, or relative pronoun used substantively is generally 	Syntax of demonstrative pronouns; Syntax of relative pronouns
1098	bn-246-syntax-of-demonstrative-pronouns	1098. A demonstrative, determinative, or relative pronoun in agreement with a substantive 	Syntax of demonstrative pronouns
1105	bn-353-style-nouns	1105. Proper names of men are used in the plural to denote different persons of the same n	Style: nouns
1109	bn-353-style-nouns	1109. Abstract substantives are often used in the plural to denote different kinds or inst	Style: nouns
1116		1116. Sometimes the nominative of a title or exclamation is retained in a sentence for som	
1118	bn-171-the-vocative	1118. The vocative nominative is used when a person or thing is addressed: as, quō usque t	The Vocative
1119	bn-171-the-vocative	1119. Masculine stems in -o- commonly use the special form for the second person singular 	The Vocative
1132	bn-172-the-accusative	1132. The object of a verb is put in the accusative: as, (a.) oppida sua omnia incendunt, 	The Accusative
1133	bn-172-the-accusative	1133. Verbs thus used with an object are said to be used transitively. Such verbs may also	The Accusative
1137	bn-172-the-accusative	1137. Many verbs ordinarily used intransitively, particularly verbs of motion, have a tran	The Accusative
1138	bn-172-the-accusative	1138. A few verbs with a transitive use, have, when compounded with circum and trāns, besi	The Accusative
1139	bn-172-the-accusative	1139. Verbs of weeping and wailing, and some other verbs of feeling, which commonly have a	The Accusative
1140	bn-172-the-accusative	1140. The meaning of a verb, even of one ordinarily intransitive, may be emphasized or mor	The Accusative
1145	bn-172-the-accusative	1145. The accusative of an appellative is rarely used adverbially: as, magnam partem ex ia	The Accusative
1146	bn-172-the-accusative	1146. The accusative is sometimes disengaged from a verb, and qualifies a substantive as a	The Accusative
1151	bn-172-the-accusative	1151. Extent of space or duration of time is denoted by the accusative: as, 198 (a.) mīlia	The Accusative
1152	bn-172-the-accusative	1152. The idea of traversing is sometimes not expressed: as, mīlia passuum tria ab eōrum c	The Accusative
1153	bn-218-instrumental-uses-of-the-ablative	1153. With absum and distō, the ablative of amount of difference is sometimes used (1393):	Instrumental Uses of the Ablative
1155	bn-172-the-accusative	1155. The accusative singular is used with ordinals, to show the number of days, months, o	The Accusative
1159	bn-172-the-accusative	1159. An appellative urbem or oppidum accompanying the accusative of a town name is usuall	The Accusative
1160	bn-172-the-accusative	1160. When merely ‘motion towards’ or ‘nearness’ is meant, ad is used: as, trēs viae sunt 	The Accusative
1164	bn-172-the-accusative	1164. The accusative domum or domōs sometimes has an attribute, usually a possessive prono	The Accusative
1167	bn-172-the-accusative	1167. Many verbs may take two accusatives, an object and a predicate. Such are verbs signi	The Accusative
1169	bn-172-the-accusative	1169. (1.) Some verbs of teaching and hiding, demanding and questioning, may take two accu	The Accusative
1171	bn-172-the-accusative	1171. In the passive the person becomes the subject, and the accusative of a neuter pronou	The Accusative
1172	bn-172-the-accusative	1172. (2.) Verbs of wishing, reminding, inducing, and accusing, and some others, also some	The Accusative
1174	bn-172-the-accusative	1174. The accusative of extent or duration, or of aim of motion is often combined with tha	The Accusative
1181	bn-186-the-dative	1181. (1.) Many verbs of intransitive use, particularly such as denote a state, dispositio	The Dative
1187	bn-186-the-dative	1187. A verb often takes the dative, when combined with adversum, obviam, or praestō, also	The Dative
1188	bn-186-the-dative	1188. (2.) Many verbs of intransitive use compounded with a preposition take a dative conn	The Dative
1192	bn-186-the-dative	1192. (1.) Many verbs of transitive use take the dative: as, ē̆ī fīliam suam in mātrimōniu	The Dative
1194	bn-186-the-dative	1194. (2.) Many verbs of transitive use compounded with a preposition take a dative connec	The Dative
1196	bn-186-the-dative	1196. With these verbs, a prepositional construction is often used, as with the verbs of i	The Dative
1197	bn-186-the-dative	1197. Verbs of transitive use compounded with com- have oftener the ablative with cum: as,	The Dative
1198	bn-172-the-accusative	1198. With a few compounds of ad or in, a second accusative is exceptionally used: as, arb	The Accusative
1199	bn-186-the-dative	1199. A few compound verbs admit either the dative of the person or thing and accusative o	The Dative
1200	bn-186-the-dative	1200. The dative with many adjectives and some adverbs denotes that to which the quality i	The Dative
1205	bn-186-the-dative	1205. The dative of a person or thing interested, benefited, harmed, may be added at optio	The Dative
1207	bn-186-the-dative	1207. The dative is often added to the entire sentence, where either a genitive or a posse	The Dative
1212	bn-186-the-dative	1212. The dative is used with forms of sum to denote the possessor: as, est hominī cum deō	The Dative
1214	bn-186-the-dative	1214. (2.) With the actives nōmen dō, indō, pōnō, tribuō, &c., the name may be in the dati	The Dative
1219	bn-186-the-dative	1219. (1.) Certain datives are used with a form of sum to denote what a thing tends to, pr	The Dative
1221	bn-186-the-dative	1221. Instead of the dative of tendency, a predicative nominative or accusative is rarely 	The Dative
1222	bn-186-the-dative	1222. (2.) The dative is also used with a few verbs of considering or accounting to denote	The Dative
1223	bn-186-the-dative	1223. A few datives are used to denote what a thing is intended to be. This dative is gene	The Dative
1224	bn-186-the-dative	1224. For the datives dōnō and mūnerī, a predicative nominative or accusative is sometimes	The Dative
1225	bn-186-the-dative	1225. The dative receptuī is also used in military language to denote purpose: as, Caesar 	The Dative
1228	bn-195-genitive-with-nouns	1228. Two or even three genitives expressing different relations, sometimes limit one subs	Genitive with Nouns
1229	bn-195-genitive-with-nouns	1229. The limited substantive is often omitted, when it is obvious from the context: as, v	Genitive with Nouns
1233	bn-195-genitive-with-nouns,bn-354-style-adjectives	1233. Instead of the genitive, an adjective is often used to express such relations; less 	Genitive with Nouns; Style: adjectives
1234	bn-243-syntax-of-possessive-pronouns	1234. The possessive pronoun is regularly used instead of the possessive genitive of a per	Syntax of possessive pronouns
1235	bn-243-syntax-of-possessive-pronouns	1235. A word in apposition with the possessive pronoun is put in the genitive: as, meā ūnī	Syntax of possessive pronouns
1236	bn-195-genitive-with-nouns	1236. The genitive is often used predicatively with verbs meaning am, belong, become, make	Genitive with Nouns
1237	bn-195-genitive-with-nouns	1237. The possessive genitive of a person or of an abstract is particularly common when th	Genitive with Nouns
1238	bn-195-genitive-with-nouns	1238. With the possessive genitive, the limited substantive is sometimes defined by commūn	Genitive with Nouns
1239	bn-195-genitive-with-nouns	1239. (2.) The genitive with an adjective in agreement is used to denote quality, either a	Genitive with Nouns
1242	bn-195-genitive-with-nouns	1242. (a.) The numerical partitive is a plural or a collective, limiting a word expressing	Genitive with Nouns
1249	bn-241-other-peculiarities	1249. A few adjectives of place and time indicating a particular part of an object, are co	Other Peculiarities
1250	bn-195-genitive-with-nouns	1250. The limiting genitive is often the neuter singular of an adjective used substantivel	Genitive with Nouns
1251	bn-195-genitive-with-nouns	1251. The partitive construction sometimes extends to the predicate: as, id erit sīgnī mē 	Genitive with Nouns
1255	bn-195-genitive-with-nouns	1255. (4.) The genitive is used to define that of which a thing consists: as, magna multit	Genitive with Nouns
1256	bn-195-genitive-with-nouns	1256. The genitive of an explicit word containing the leading idea is sometimes used to de	Genitive with Nouns
1257	bn-195-genitive-with-nouns	1257. The genitive of definition is very common with causā, less common with grātiā, to de	Genitive with Nouns
1259	bn-195-genitive-with-nouns	1259. quidquid est, quantum est, quod est, or quodcumque est, with a genitive, is equivale	Genitive with Nouns
1260	bn-195-genitive-with-nouns	1260. (5.) The objective genitive denotes the object of the action expressed in the limite	Genitive with Nouns
1261	bn-195-genitive-with-nouns	1261. Instead of the objective genitive, a prepositional expression is sometimes used with	Genitive with Nouns
